Номер предприятия	Среднегодовой объем выпускаемой продукции (тыс. руб.)	Среднее списочное число рабочих (чел.)	Количество посещений больниц в связи с травмами
1	4010	4270	937
2	3016	4250	702
3	1950	2850	389
4	4100	4750	987
5	3116	3550	632
6	3266	3900	665
7	2100	2850	338
8	2986	3650	572
9	2160	2750	368
10	3110	3200	484
11	2040	2150	305
12	2540	3150	527
13	3403	3750	660
14	2500	3150	502
15	3146	3550	582
16	2130	3150	580
17	3236	3650	690
18	2866	2950	427
19	3146	3350	528
20	2250	2750	380
21	2610	3150	648
22	2270	2350	4072
23	2420	2250	416
24	3760	4150	810
25	4210	4850	907